license_number,company_name,company_dba,license_classification,issued_date,naics_code,naics_name,predirection,address_line1,address_line2,street_type,postdirection,unit_suite,city,state,postal_code,address_concat,address_api,longitude,latitude,disinvested_neighborhood,council_district,npu,normalized_name,naics_str,naics_6_str
GBL-1023-23896,retropassion21,,Retail Trade,2025-02-12 15:04:17,452319.0,All Other General Merchandise Stores,,464 armour drive ne,,,,,Atlanta,GA,30324.0,464 Armour Drive NE nan nan Atlanta GA 30324,"464 Armour Dr NE, Atlanta, Georgia, 30324",-84.37217199,33.81266602,False,6,F,retropassion21,452319.0,452319.0
GBL-1120-00070,ruby innovations,,Retail Trade,2025-02-15 18:39:53,452319.0,All Other General Merchandise Stores,,1195,Milton Terrace,TER,SE,2103,Atlanta,GA,30315.0,1195 Milton Terrace  TER Atlanta GA 30315,"1195 Milton Ter SE, Atlanta, Georgia, 30315",-84.38188971,33.7229732,True,1,Y,ruby innovations,452319.0,452319.0
GBL-1221-08253,savi post riverside llc,savi provisions provisions,Accommodation and Food Services,2025-01-23 17:04:25,445299.0,All Other Specialty Food Stores,,4403 northside,,PKWY,,Suite 170,Atlanta,GA,30327.0,4403 Northside nan PKWY Atlanta GA 30327,"4403 Northside Pkwy NW, Atlanta, Georgia, 30327",-84.44918399,33.86806302,False,8,A,savi provisions provisions,445299.0,445299.0
GBL-1224-34642,"wingman hospitality, llc",bennett's market and deli,Retail Trade,2025-01-24 08:29:00,445299.0,All Other Specialty Food Stores,,891,CHEROKEE,Avenue,SE,,Atlanta,GA,30315.0,891 CHEROKEE Avenue Atlanta GA 30315,"891 Cherokee Ave SE, Atlanta, Georgia, 30315",-84.37392632,33.73017317,False,1,W,bennetts market and deli,445299.0,445299.0
LGB-185408-2020,little tart bakeshop,,Retail Trade,2025-03-04 23:05:52,445299.0,All Other Specialty Food Stores,,60,GEORGIA,AVE,SE,,ATLANTA,GA,30312.0,60 GEORGIA AVE ATLANTA GA 30312,"60 Georgia Ave SE, Atlanta, Georgia, 30312",-84.38566341,33.73715529,False,District 1,V,little tart bakeshop,445299.0,445299.0
LGB-188969-2020,einstein and noah corp,,Retail Trade,2025-01-31 15:35:27,445299.0,All Other Specialty Food Stores,,1163,W PEACHTREE,ST,NE,,ATLANTA,GA,30309.0,1163 W PEACHTREE ST ATLANTA GA 30309,"1163 W Peachtree St NE, Atlanta, Georgia, 30309",-84.38742101,33.78643301,False,District 2,E,einstein and noah corp,445299.0,445299.0
LGB-189774-2020,georgia sustainable juice comp,,Retail Trade,2025-01-17 17:12:03,445299.0,All Other Specialty Food Stores,,2260,MARIETTA,BLVD,NW,,ATLANTA,GA,30318.0,2260 MARIETTA BLVD ATLANTA GA 30318,"2260 Marietta Blvd, Atlanta, Georgia, 30318",-84.46412576,33.80580996,True,District 9,G,georgia sustainable juice comp,445299.0,445299.0
GBL-0525-40289,la bodega at the met corp,la bodega market,Retail Trade,2025-07-21 05:31:00,445299.0,All Other Specialty Food Stores,,1975 sylvan,,RD,SW,,Atlanta,GA,30310.0,1975 SYLVAN nan RD Atlanta GA 30310,"1975 Sylvan Rd SW, Atlanta, Georgia, 30310",-84.41899916,33.70063153,True,District 12,X,la bodega market,445299.0,445299.0
GBL-0625-41119,gather'd market llc,gather'd market,Retail Trade,2025-08-12 10:04:00,445299.0,All Other Specialty Food Stores,,3872,ROSWELL,Road,NE,,Atlanta,GA,,3872 ROSWELL Road Atlanta GA nan,"3872 Roswell Rd NE, Atlanta, Georgia, 30342",-84.38094096,33.86089498,False,District 8,B,gatherd market,445299.0,445299.0
LGB-188220-2020,evergreen butcher & baker,,Retail Trade,2025-03-25 13:29:14,311812.0,Commercial Bakeries,,2005,HOSEA L WILLIAMS,DR,SE,,ATLANTA,GA,30317.0,2005 HOSEA L WILLIAMS DR ATLANTA GA 30317,"2005 Hosea L Williams Dr SE, Atlanta, Georgia, 30317",-84.32187453,33.75095115,False,District 5,O,evergreen butcher and baker,311812.0,311812.0
